name,lat,lon
P-IJ0375B_+004_340.4_N77491_GW.23,309.523,1301.163
P-AB45901C_-248_406.4_N315_GW.21,5187.331,5456.45
P-GH55919A_+300_278.2_N291_GW.20,2673.484,2064.531
P-GH55919B_+300_323.7_N291_GW.20,2673.484,2064.531
U3-Building_WaterLevel,757.5496656,4586.406472
U3-Building_WaterLevel,757.5496656,4586.406472
P-GH55919C_+300_331.2_N291_GW.20,2673.484,2064.531
P-EF63302A_+497_296.6_N287_GW.23,354.148,2657.412
P-GHMO6_N316_GW.23,3508.79477,1984.326642
P-EF63151B_+181_346.4_N292_GW.22,702.936,2688.674
U3-Spillway_Upstream_WaterLevel_N314_GW.23,43.54130326,2800.522065
U3-Spillway_Upstream_WaterLevel_N314_GW.23,43.54130326,2800.522065
P-HS1520A_-163_402.3_N290_GW.21,3273.71,6530.18
Aqualabo-GHMO6_N293_GW.23,3508.79477,1984.326642
P-HS1500A_-101_408.0_N289_GW.21,3302.926,6595.141
TM-U2-Building-4.0-X,687.3124121,3436.193318
TM-U2-Building-4.0-X,687.3124121,3436.193318
TM-U2-Building-4.0-X,687.3124121,3436.193318
TM-U2-Building-4.0-X,687.3124121,3436.193318
P-EF63302B_+497_316.1_N287_GW.23,354.148,2657.412
P-HS1500B_-101_418.0_N289_GW.21,3302.926,6595.141
Aqualabo-U3-Building_N309_GW.22,757.5496656,4586.406472
P-HS1520B_-163_417.3_N290_GW.21,3273.71,6530.18
P-GH55283A_+299_348.2_N288_GW.20,3237.21,2359.16
Aqualabo-Pumpstation-0+550_N312_GW.23,143.6936312,1280.930504
